Datetime,rsi_10,rsi_20,mfi_10,mfi_20
2020-01-23 03:00:00+00:00,31.81578454143463,40.563838062474765,27.49955756218486,30.7697296276901
2020-01-23 04:00:00+00:00,28.1543085914253,38.33706684424205,24.57427562876569,31.68556397466645
2020-01-23 05:00:00+00:00,25.55428720322637,36.651867909247,19.662899680191263,29.789070160407903
2020-01-23 06:00:00+00:00,24.130816324583662,35.70215967221002,26.229496531799267,31.156582054466156
2020-01-23 07:00:00+00:00,36.226828907244176,40.66197477866691,32.82457562902884,38.87589669206958
2020-01-23 08:00:00+00:00,31.375344735466356,37.970770242721386,27.829893042028704,39.80435377162571
2020-01-23 09:00:00+00:00,24.02110799585644,33.210296557071054,22.013302566948585,39.40699960597024
2020-01-23 10:00:00+00:00,27.053281648017524,34.58806388180578,21.520271043246574,31.354302161805496
2020-01-23 11:00:00+00:00,32.04955025882885,36.86144494595947,29.275528162366072,32.450026850688495
2020-01-23 12:00:00+00:00,32.225284789642,36.94004759126689,38.64486508069642,32.649232546446456
2020-01-23 13:00:00+00:00,23.947019265983005,31.90960723532,29.23805917368871,28.595802866125087
2020-01-23 14:00:00+00:00,28.46197047565542,34.00147947971715,30.33789227786504,28.00444484094331
2020-01-23 15:00:00+00:00,32.810614441262146,36.03127494849017,41.89527146816056,30.92905637454216
2020-01-23 16:00:00+00:00,32.77245031802955,36.011174591679165,35.201901142819025,30.57018963119205
2020-01-23 17:00:00+00:00,28.52829320949604,33.73110380137315,27.062666759791764,30.166416005081825
2020-01-23 18:00:00+00:00,25.493740682828943,31.96859207561624,28.131137566084742,27.959201346907825
2020-01-23 19:00:00+00:00,29.98375093128769,33.940053154263566,36.50721743300274,27.526723664695457
2020-01-23 20:00:00+00:00,30.90901026101751,34.34062634017722,46.2587077855946,29.97852698344842
2020-01-23 21:00:00+00:00,48.6966168337018,42.94059167275813,43.880812998536975,34.33688565319603
2020-01-23 22:00:00+00:00,44.56347508879516,41.10320847193292,37.160448406694144,38.158661648267646
2020-01-23 23:00:00+00:00,46.60727753738686,42.16063326818307,41.448962694874425,32.98054552529935
2020-01-24 00:00:00+00:00,51.45177344841471,44.70620568987731,58.90265954212879,39.88613904221005
2020-01-24 01:00:00+00:00,38.6581763936999,38.80485204630009,43.27706991113272,42.422487667228566
2020-01-24 02:00:00+00:00,27.483617438201584,32.21689710475732,34.14774337090801,34.73032085758591
2020-01-24 03:00:00+00:00,33.54593349669554,35.49128315024968,32.506878621516655,29.61091872630548
2020-01-24 04:00:00+00:00,30.0548206856008,33.369392780658394,33.14450585941927,30.50182693356412
2020-01-24 05:00:00+00:00,34.1281271522186,35.53880253224398,27.13155093537061,31.648837913671255
2020-01-24 06:00:00+00:00,40.55838819618366,39.03210849262061,32.232190615509964,38.23680938490847
2020-01-24 07:00:00+00:00,38.86816423838563,38.159378140698806,26.553862454790416,33.74337257628072
2020-01-24 08:00:00+00:00,38.391918649989336,37.92028005905866,22.84648801524084,28.3686502764459
2020-01-24 09:00:00+00:00,31.906183820412465,34.520732661155186,20.435718022086977,27.47457321798425
2020-01-24 10:00:00+00:00,31.78218566182459,34.45315400399751,9.2496366046201,27.435542303248905
2020-01-24 11:00:00+00:00,61.93501579657811,52.43391052422346,27.13454337883589,32.99362922158471
2020-01-24 12:00:00+00:00,64.00678921579129,53.99098500703472,45.35837297397688,40.59955548193515
2020-01-24 13:00:00+00:00,65.42244823409496,55.03981889747745,55.14884494259344,45.37304108768336
2020-01-24 14:00:00+00:00,67.33230494324063,56.438222376865,64.37147692131035,51.44877862265059
2020-01-24 15:00:00+00:00,68.01554727698685,56.929059053223774,65.19918689650427,48.82004469470641
2020-01-24 16:00:00+00:00,55.66323406732225,51.13728550307971,57.44712229866733,46.10215978888091
2020-01-24 17:00:00+00:00,58.30299105210786,52.72561749345898,57.87655553426706,43.6429509297107
2020-01-24 18:00:00+00:00,59.78073836112612,53.607272445339774,61.077075018426285,43.52123952077967
2020-01-24 19:00:00+00:00,62.33774078360755,55.12612210860395,72.53735786419175,45.96378334196416
2020-01-24 20:00:00+00:00,56.41670662963223,52.44109703935306,75.68644342141901,41.87236083598218
2020-01-24 21:00:00+00:00,56.72411427477561,52.60465349864719,66.01537238862109,43.589738669194055
2020-01-24 22:00:00+00:00,52.95908572103912,50.93210180073841,50.69338156348452,47.41650896005335
2020-01-24 23:00:00+00:00,51.26806253770872,50.18097119531162,34.127829117648886,47.247712457503766
2020-01-25 00:00:00+00:00,34.28267017245852,41.24053150489962,12.134798486399722,44.66998224420989
2020-01-25 01:00:00+00:00,31.2091840458327,39.27027475451178,10.648201835141792,42.756702307137886
2020-01-25 02:00:00+00:00,39.028620328274535,42.96315939698182,22.706397237122108,42.94139224525646
2020-01-25 03:00:00+00:00,37.19558683898461,41.91627198140871,35.83994593641121,48.091623707458645
2020-01-25 04:00:00+00:00,37.02160099462027,41.81967249465185,29.943477396772483,46.49568490946117
